Date,AAPL.O,IBM.N,FB.O,NVDA.O,JNJ.N,HD.N,V.N,BAC.N,PFE.N,COST.O,KO.N,WMT.N,MCD.N,NKE.N,FDX.N,MCO.N
31/01/2013,16.26748373,193.9651535,30.981,3.065,73.92,66.92,39.4775,11.32,25.86004872,92.77990855,37.24,69.95,95.29,27.025,101.45,54.82
28/02/2013,15.76426995,191.8255861,27.25,3.165,76.11,68.5,39.66,11.23,25.94536413,91.8279943,38.72,70.78,95.9,27.23,105.43,48.06
31/03/2013,15.80926991,203.7364812,25.58,3.2075,81.53,69.78,42.46,12.18,27.35780814,96.19773398,40.44,74.83,99.69,29.505,98.2,53.32
30/04/2013,15.81355562,193.4589166,27.769,3.4425,85.23,73.35,42.115,12.31,27.55687743,98.30101117,42.33,77.72,102.14,31.8,94.01,60.85
31/05/2013,16.06194822,198.6932153,24.348,3.6175,84.18,78.66,44.535,13.66,25.81265127,99.38981976,39.99,74.84,96.57,30.83,96.34,66.44
30/06/2013,14.16177155,182.541392,24.88,3.51,85.86,77.47,45.6875,12.86,26.55205149,100.2411031,40.11,74.49,99,31.84,98.58,60.93
31/07/2013,16.16176955,186.2951866,36.8,3.60875,93.5,79.03,44.2525,14.6,27.70854927,106.4512103,40.08,77.94,98.08,31.46,106,67.77
31/08/2013,17.40055403,174.0977423,41.294,3.6875,86.41,74.49,43.605,14.12,26.74164129,101.4196636,38.18,72.98,94.36,31.41,107.36,63.56
30/09/2013,17.02676869,176.8772695,50.23,3.89,86.69,75.85,47.775,13.8,27.21561579,104.4113941,37.88,73.96,96.21,36.32,114.11,70.33
31/10/2013,18.6679099,171.1749404,50.205,3.79725,92.61,77.89,49.1675,13.96,29.08307532,106.9770296,39.57,76.75,96.52,37.88,131,70.66
30/11/2013,19.859623,171.6238675,47.01,3.9,94.66,80.67,50.865,15.82,30.07842177,113.7129561,40.19,81.01,97.37,39.57,138.7,74.63
31/12/2013,20.03640854,179.1601115,54.649,4.005,91.59,82.34,55.67,15.57,29.03567787,107.9017463,41.31,78.69,97.03,39.32,143.77,78.47
31/01/2014,17.87855355,168.7583755,62.57,3.925,88.47,76.85,53.8575,16.75,28.8176496,101.8638902,37.82,74.68,94.17,36.425,133.32,74.58
28/02/2014,18.79426692,176.8677179,68.46,4.595,92.12,82.03,56.485,16.53,30.43864239,105.8891276,38.2,74.7,95.15,39.15,133.33,79
31/03/2014,19.16926655,183.8595184,60.24,4.4775,98.23,79.13,53.965,17.2,30.44812188,101.2474124,38.66,76.43,98.03,36.93,132.56,79.32
30/04/2014,21.07462178,187.6610711,59.78,4.6175,101.29,79.51,50.6525,15.14,29.65184472,104.8737524,40.79,79.71,101.38,36.475,136.25,78.5
31/05/2014,22.60712025,176.094035,63.3,4.75,101.46,80.23,53.7075,15.14,28.08772887,105.1819913,40.91,76.77,101.43,38.455,144.16,85.54
30/06/2014,23.2325,173.1425783,67.29,4.635,104.62,80.96,52.6775,15.37,28.13512632,104.4023282,42.36,75.07,100.74,38.775,151.38,87.66
31/07/2014,23.9,183.0762839,72.65,4.375,100.09,80.85,52.7525,15.25,27.2061363,106.5600005,39.29,73.58,94.56,38.565,146.88,87
31/08/2014,25.625,183.6780372,74.82,4.8625,103.73,93.5,53.13,16.09,27.86022111,109.7693114,41.72,75.5,93.72,39.275,147.88,93.57
30/09/2014,25.1875,181.3187821,79.04,4.6125,106.59,91.74,53.3425,17.05,28.03085193,113.6132318,42.66,76.47,94.81,44.6,161.45,94.5
